VDA Data Log,,,,,,,,,,,,,
Aug-12, 2018 12:26:53 PM,,,,,,,,,,,,
Time (s),Engine Coolant Temperature (?C),Catalyst Temperature Bank 1 - Sensor 1 (?C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (?C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (?C),Absolute Throttle Position (%)
988.9,86,616,65.9,101,66,64.2,24,74,1996,15.7,13.008,28,20.4
992,86,616,65.9,100,66,64.9,24,73,2004,16.5,12.96,28,20.4
995.1,87,616,65.9,100,67,65.5,24,73.7,2044,17.3,13.011,28,21.2
998.2,87,616,65.9,100,69,65.1,24,73.9,2103,16.9,13.031,28,21.2
1001.3,87,616,65.5,100,72,65.1,24,72.9,2193,17.3,12.96,28,21.7
1004.4,87,616,65.5,100,72,65.9,24,76.5,2187,17.9,13.027,28,22.4
1007.5,87,616,65.5,100,71,66.5,24,76.2,2149,18.2,12.937,28,22.6
1010.6,87,617.7,65.6,100,70,69,24,78.8,2201,19.7,12.88,28,24.4
1013.7,87,620,65.6,100,71,69,24,78.8,2259,20.5,13.018,28,25.1
1016.8,87,620,65.5,100,73,66.5,24,77.6,2226,19.6,12.96,28,23.2
1019.9,87,619.5,65.5,101,75,16.3,24,25.6,2232,8.4,13,28,8.3
1023,87,613.6,65.3,101,75,22.9,24,25.7,2251,3.9,12.96,28,8.3
1026.1,87,608,65.1,101,76,30.7,24,33.9,2280,5.5,12.96,28,10
1029.2,87,604.6,64.7,101,77,34.2,24,38.3,2331,7.5,13.04,28,12
1032.3,87,598.4,64.3,101,78,12.7,24,13.4,2337,0.9,12.974,28,5.4
1035.4,86,588.1,64.3,101,77,27.8,24,31.4,2331,8.6,12.991,28,12.1
1038.5,86,589.7,64.7,101,77,63.9,24,72.4,2447,16.7,12.981,28,21.8
1041.6,86,595.9,64.3,101,77,65.9,24,74.7,2417,17.3,13.014,28,22.3
1044.7,86,596,64.7,101,77,40.8,24,37.3,2305,5.3,12.96,28,11.1
1047.8,86,583.4,65.1,101,73,11,24,12.3,2182,0,12.894,28,5
1050.9,86,570.6,65.1,101,70,19,24,20.3,2122,1.5,12.96,28,7
1054,86,568,64.7,101,67,45.5,24,51.4,2136,9.7,12.96,28,13.5
1057.1,86,570.3,64.5,101,67,55.9,24,63.8,2083,13,13.038,28,17.3
1060.2,86,572.5,63.9,101,67,66.6,24,73.5,2096,16.9,12.96,28,20.5
1063.3,86,576,63.9,101,66,59.1,24,67.6,2025,13.4,12.96,28,18.8
1066.4,86,580,63.9,101,66,64.7,24,72.6,2057,12.6,13.015,28,15.9
1069.5,86,576.1,64.2,101,64,37.5,24,42.9,1917,7.3,12.936,28,11.2
1072.6,86,576,64.4,101,62,44,24,48.9,1874,6,8.223,28,12
1075.7,86,574.3,64.6,101,59,30.5,24,22,1762,3.5,11.135,28,9.2
1078.8,86,572,64.6,101,56,59,24,64.5,1787,13.9,12.96,28,17
1081.9,86,578,64.7,100,55,72.7,24,81.3,1997,21.4,12.96,28,26.1
1085,86,588,64.3,100,55,73.2,24,83.5,2218,24.3,12.96,28,28.9
1088.1,86,592.9,64.3,100,55,72.9,24,82.7,2310,23.9,12.961,28,28.6
1091.2,86,601.3,63.9,100,56,72.3,24,82.7,2291,23.9,12.998,27,28.6
1094.3,86,611.2,64.3,100,56,73.8,24,83.4,2327,24.7,12.96,27,29.8
1097.4,86,617,64.3,100,57,73.7,24,84.3,2375,24.7,13.01,27,29.8
1100.5,87,623.3,64.3,100,58,73.2,24,85,2391,25,12.96,27,30.2
1103.6,87,629.6,64.4,100,57,73.8,24,85.6,2386,25.7,13.022,27,30.3
1106.7,87,635.6,64.4,100,57,75,24,86.5,2418,27.2,12.96,27,32.2
1109.8,87,641.6,64.2,100,59,75.3,24,86.3,2412,27.5,13.006,27,32.2
1112.9,87,644,63.9,100,61,71,24,79.4,2211,23.9,13.04,27,31
1116,87,644,63.5,100,61,69.6,24,79.5,2039,19.9,12.914,27,24.7
1119.1,87,648,63.1,100,63,73.4,24,84.5,2320,26.1,12.96,28,30.8
1122.2,87,650.7,63.1,100,63,72.7,24,83.2,2445,25.5,12.96,28,30.7
1125.3,87,650.8,63.1,100,63,69.8,24,78.6,2144,19.9,12.96,28,24.5
1128.4,87,648,62.8,100,63,65,24,78,2090,20.7,12.966,28,24.6
1131.5,87,648,62.6,100,62,72.2,24,80.8,1986,21.1,12.992,28,24.2
1134.6,87,648,62.4,100,63,69.9,24,80.2,2177,21.9,12.98,28,26.7
1137.7,87,648,62.4,100,65,68.6,24,79.6,2200,20.7,12.932,28,25.5
1140.8,87,648,62.4,100,65,54.7,24,59.5,1970,10.5,12.977,28,14.3
1143.9,87,642.4,62.4,100,64,46.5,24,47.6,1950,10.2,12.976,28,16.7
1147,87,639.5,62.4,100,62,34.4,24,39.3,1890,3.2,12.989,28,6.6
1150.1,87,629.8,62.2,100,60,14.5,24,13,1797,0.5,12.967,28,4.5
1153.2,87,615.2,62.4,100,57,9.4,24,10.7,1710,0.4,12.96,28,3.7
1156.3,87,602.5,62.7,100,54,13.9,24,15.7,1599,0,13.038,28,4.6
1159.4,87,585.6,62.8,100,51,15.7,24,18.5,1510,0,12.96,28,4.9
1162.5,86,569.1,63.1,100,47,15.4,24,17.2,1441,0.3,13.024,28,4.3
1165.6,86,562.3,63.1,100,43,27.9,24,33.3,1302,5.8,13.023,28,9.7
1168.7,86,560,63.5,100,40,29.6,24,40.9,1294,5.3,12.985,28,4.5
1171.8,86,556.1,63.5,100,37,15.1,24,19.4,1142,0,12.967,28,3.5
1174.9,86,542.7,63.9,100,29,18.4,24,22.3,1208,0,12.92,28,4.8
1178,86,530.4,64.1,100,21,22.4,24,27.6,1166,0,13.114,28,5.1
1181.1,86,522.4,64.7,100,10,20.5,24,20.6,1060,0.3,12.96,28,4.7
1184.2,86,512.7,64.7,100,9,55,24,74.4,2203,16,12.969,29,20.3
1187.3,86,519.4,64.6,100,20,66.4,24,75.6,1879,18.8,13.034,30,21.6
1190.4,86,530.8,64.3,100,28,69,24,79.3,2108,19.3,12.96,30,23.5
1193.5,86,548.7,64.3,100,34,67.9,24,78.4,2210,19.3,12.96,29,23.5
1196.6,86,563,64.3,99,38,67.2,24,77.8,2337,19.5,12.922,29,24.3
1199.7,86,576,64.1,99,40,70.6,24,79.3,2427,19.6,12.968,29,24.3
1202.8,86,588.8,63.9,99,43,70,24,81.1,2465,19.6,13.006,29,24.8
1205.9,86,600,63.9,99,48,68.6,24,79.6,2536,21.7,12.96,29,26.9
1209,86,612,64.3,100,51,69.8,24,79.4,2804,24.9,12.96,29,31.2
1212.1,86,618.4,64.3,100,52,69.4,24,79.5,2821,25.1,12.96,28,31
1215.2,86,625.6,64.3,100,52,69.7,24,79.2,2824,25.1,12.96,28,30.8
1218.3,86,632.1,64.3,100,56,68.4,24,78.3,2869,24.7,12.929,28,30.7
1221.4,86,637.9,64.1,100,57,68.2,24,77.6,2888,24.7,12.88,28,31
1224.5,86,644,63.9,100,59,68.8,24,77.7,2922,25.1,12.96,28,31.1
1227.6,86,646.6,63.5,100,61,68.2,24,77.5,2989,25.5,12.96,28,31.7
1230.7,86,648,63.5,100,62,67.5,24,76.4,2990,25.1,12.96,28,31.2
1233.8,86,648,63.5,99,63,67.8,24,76.9,2865,24.3,12.98,28,30.2
1236.9,86,652,63.5,99,65,68.1,24,76.9,2896,24.6,12.979,28,30.9
1240,86,652,63.2,99,66,66.9,24,76.4,3031,25.4,12.934,28,31.2
1243.1,86,652,63.1,99,66,67.8,24,77.7,2642,22.9,12.944,28,29.8
1246.2,86,652,63.1,99,67,68.4,24,77.8,2898,24.8,12.96,28,31
1249.3,86,652,63.3,99,67,68.2,24,77.6,2995,25.5,12.96,28,31.7
1252.4,86,652,63.5,99,65,68.8,24,77.5,2950,25.5,12.864,27,31.4
1255.5,86,656,63.5,99,62,68.5,24,77.5,2933,25.5,13.03,27,31.4
1258.6,86,656.1,63.1,99,61,69,24,78.3,3062,26.7,12.96,27,32.9
1261.7,86,660,63.1,99,60,68.4,24,77.8,3118,26.4,12.96,27,32.9
1264.8,86,660,63.1,99,60,68,24,77.9,3129,26.3,12.905,27,32.5
1267.9,86,662.1,62.7,99,58,67.5,24,77,3118,26.3,12.96,27,32.5
1271,86,664,62.7,99,57,68,24,77.7,3100,26.3,12.96,27,32.9
1274.1,86,668,62.7,99,56,67.5,24,78.3,3135,26.3,12.96,27,32.9
1277.2,86,668,62.7,99,56,69.4,24,79.4,3169,26.7,12.96,27,33.3
1280.3,86,672,62.4,99,56,70.3,24,81.2,3226,26.1,12.96,27,32.9
1283.4,86,676,62,99,56,67.2,24,77.9,3129,26.3,12.99,27,32.6
1286.5,86,677.5,62,99,55,70.3,24,81.2,3218,27.3,12.847,27,33.9
1289.6,86,680,62,99,56,72.9,24,83.5,3349,28.2,12.96,27,35.3
1292.7,86,684,62,99,56,73.8,24,82.7,3386,28.8,12.96,27,35.8
1295.8,86,687.7,62,98,56,74,24,83.1,3467,29.4,12.96,27,36.5
1298.9,86,689.8,62,98,56,73.1,24,82.4,3475,29.1,12.96,27,36.2
1302,86,692,62,98,57,73.7,24,83,3497,30.2,12.96,27,37.4
1305.1,87,694.5,61.8,98,57,75.6,24,83.3,3555,31,13.018,27,38.2
1308.2,87,696,61.6,98,58,76.1,24,84.9,3638,31,12.96,27,38.4
1311.3,87,696,61.6,98,58,75.7,24,84.7,3593,31.4,12.885,27,38.7
1314.4,87,700,61.6,98,58,77.5,24,85.2,3669,31.9,13.004,27,39.3
1317.5,87,700,61.3,98,59,77.3,24,83.6,3822,30.4,12.891,27,37.9
1320.6,87,700,61.2,98,61,73.1,24,79.4,3924,25.2,12.96,27,33.3
1323.7,87,700,61,98,61,64,24,77.4,3149,24.9,12.96,27,33.2
1326.8,87,700,60.8,98,60,71.1,24,82.3,3108,33.3,12.903,27,39.7
1329.9,87,700,60.4,98,58,72.9,24,83.5,3017,36.5,12.96,27,42.5
1333,87,700,60.4,98,57,72.4,24,84.1,3057,36,12.96,27,42.7
1336.1,87,700,60.2,98,57,72.9,24,84.3,3160,35.4,13.027,27,41.9
1339.2,87,700,60,98,57,72.9,24,84.3,3150,35.3,12.942,27,42
1342.3,87,700,59.8,98,57,72.7,24,83.9,3137,35.3,12.944,27,42
1345.4,87,700,60,98,57,72.7,24,83.9,3137,35.5,12.982,27,42
1348.5,87,700,60,98,58,72.7,24,82.7,3088,36,12.971,26,42.5
1351.6,87,700,60,97,58,72.2,24,83.1,3112,36.1,12.982,26,42.4
1354.7,87,700,60,97,60,72.7,24,84.4,3158,35.5,12.977,26,42.3
1357.8,87,700,60,97,63,76.9,24,87.3,3409,34.3,12.9,26,41.2
1360.9,87,700,60,98,68,78.3,24,84.3,3892,25.2,12.96,26,26.3
1364,87,696.2,60,97,71,67.1,24,78.9,2312,23.5,12.96,26,29.9
1367.1,87,692,60.2,97,74,59,24,79.5,2722,33.6,12.96,26,36.6
1370.2,87,683.3,60.8,98,75,13.5,24,21.2,2210,0.2,13.064,26,5.2
1373.3,87,662.5,61,98,72,12.1,24,14.8,2126,0,13.04,26,5.5
1376.4,87,640.3,61.6,98,70,10.4,24,12.5,2069,0.2,12.985,26,4.6
1379.5,86,624.1,61.4,98,65,10.2,24,11.8,1925,0.4,13.04,27,4
1382.6,86,611.1,61.6,98,65,10.2,24,11.8,1917,0.2,13.007,27,4.2
1385.7,86,598.9,62.2,98,62,10.8,24,11.9,1902,0.4,12.962,27,3.9
1388.8,86,587.7,62.4,98,62,17.6,24,20.4,1854,1.9,12.96,27,6.8
1391.9,86,584,62,98,62,18.8,24,20.3,1885,0.4,12.96,27,6.6
1395,86,571.9,62.4,98,63,15.4,24,14.5,1911,0.8,12.994,27,6.3
1398.1,86,560.9,62.6,98,62,10.7,24,11.6,1917,0,12.957,27,4.3
1401.2,86,552.2,62.7,98,62,10.6,24,12.5,1875,0.4,12.888,27,4
1404.3,86,545.9,62.9,98,63,16.7,24,19.8,1923,3,12.967,27,6.6
1407.4,86,539.3,63.1,98,63,13.9,24,18.1,1915,0.4,12.925,28,4.6
1410.5,86,528,63.1,98,61,15.9,24,18.3,1875,0.8,12.951,28,6.4
1413.6,86,528,63.1,98,62,28.2,24,20.5,1890,3.1,12.96,28,10
1416.7,86,522,63.7,98,62,11.6,24,12.6,1881,0,12.96,28,4
1419.8,86,519.6,63.9,98,62,17.3,24,20.1,1873,1.6,13.006,28,5.8
1422.9,86,516,64.5,98,62,16.6,24,18.4,1861,2,12.96,28,6.6
1426,86,511.9,64.7,98,61,15.1,24,18.7,1850,2.5,13.04,28,7.2
1429.1,86,508,64.7,98,60,35,24,39.6,1865,9.3,12.963,28,14.5
1432.2,86,516,64.7,98,62,58.7,24,65.6,1990,7.3,12.98,28,15.6
1435.3,86,516,64.7,99,62,35.1,24,45.4,1985,4.7,12.96,28,5
1438.4,86,511.6,64.7,99,62,10.7,24,12.5,1884,0.4,12.921,28,3.8
1441.5,86,505.8,64.7,99,60,20.6,24,20,1891,2.6,12.951,28,8.3
1444.6,86,504.1,64.7,98,61,49.2,24,57.4,1896,9.4,12.96,28,13.5
1447.7,86,510.7,64.7,98,62,36.2,24,44.7,1888,10.3,12.954,28,14.6
1450.8,86,513.3,64.6,98,61,53.6,24,63.1,1933,12.4,12.935,28,16.1
1453.9,86,519.5,64.3,98,63,42.3,24,49.8,1979,10.9,13.032,28,19.2
1457,86,518.4,64.3,99,62,27.1,24,51.6,1901,13.6,12.96,28,15
1460.1,86,527.5,64,98,63,71.9,24,84.5,2265,19.1,12.978,28,28.6
1463.2,86,533.8,63.9,98,63,50.3,24,61.9,1908,11.2,13.04,28,5
1466.3,86,536,64.3,98,61,53.1,24,63.3,1940,12.3,12.96,28,14.9
1469.4,86,540,63.9,98,61,33.4,24,38.2,1827,8.7,12.96,28,13
1472.5,86,540,64.3,98,61,51.2,24,60.1,1876,10.8,12.964,28,15.2
1475.6,86,542.6,64.1,98,63,45.3,24,53.5,1914,12.8,12.955,28,18.5
1478.7,86,540.9,64.2,99,63,28.6,24,26.7,1881,2.7,12.88,28,18.8
1481.8,86,540,64.3,99,62,37.1,24,43.2,1898,6.9,12.929,28,11.2
1484.9,86,540,64.3,98,64,48.9,24,55.1,2030,8.1,13.031,28,15.4
1488,86,537.7,64.3,99,63,11.1,24,14.1,1956,0.4,12.96,28,4.7
1491.1,86,528.8,64.6,99,63,12.1,24,14.3,1854,0.4,12.944,28,3.9
1494.2,86,524,64.7,99,61,10.9,24,11.9,1828,0.4,12.939,28,4.5
1497.3,86,524,64.7,99,61,32.9,24,38,1944,6.8,12.983,28,11.4
1500.4,86,526,64.7,99,61,43.6,24,49.3,1882,8.5,12.973,28,15.2
1503.5,86,531.7,64.3,99,60,60.2,24,71.9,1859,14.2,12.96,28,14
1506.6,86,533.4,64.3,99,58,62,24,72.8,1827,15.2,12.96,28,20.5
1509.7,86,541.8,64,99,58,66.4,24,77.5,1962,18.4,12.96,28,22.4
1512.8,86,548.5,63.9,99,60,67.4,24,77.5,2009,18.2,12.96,28,22.3
1515.9,86,554.9,63.6,98,62,66.3,24,77.3,2029,18.3,13.03,28,22.4
1519,86,560,63.4,98,65,56.6,24,67.1,1971,14.4,12.988,28,16.8
1522.1,86,563,63.4,99,66,33.6,24,45.1,1979,7.4,12.96,28,7.2
1525.2,87,558.8,63.5,99,66,13,24,16,1952,0.4,12.96,28,4.9
1528.3,87,549.5,63.5,99,64,9.8,24,11.6,1916,0.3,12.939,28,3.9
1531.4,87,537.1,63.6,99,63,9.4,24,11,1887,0.3,12.928,28,3.9
1534.5,87,524.3,63.9,99,62,9.4,24,11,1856,0.4,12.96,28,3.9
1537.6,86,512.3,64.1,99,61,10.1,24,11.3,1825,0.4,13.027,28,4.2
1540.7,86,504.1,63.9,99,61,40.5,24,40.7,1925,6.2,12.989,28,12.1
1543.8,86,510.4,63.9,99,62,40,24,48.9,1940,8.9,12.965,28,13.7
1546.9,86,508.1,63.9,99,62,15.6,24,20.5,1880,1.7,12.994,28,4.6
1550,86,505.9,63.7,99,63,19.1,24,22.1,1878,2.4,13.04,28,6.6
1553.1,86,504.4,63.5,99,63,38.9,24,45.8,2014,8.2,12.96,28,10.1
1556.2,86,508,63.3,99,65,26.5,24,30.4,1932,5.6,12.962,28,9.7
1559.3,86,506.1,63.1,99,63,11.8,24,14.1,1902,0.7,13.04,28,4.9
1562.4,86,491,63.4,99,61,14.2,24,16.7,1859,0.5,12.96,28,5.1
1565.5,86,488,63.5,99,61,17.1,24,20.5,1870,2.4,12.96,28,7.6
1568.6,86,491,63.5,99,62,30.5,24,40.2,1992,9.8,12.954,28,13
1571.7,86,492,63.5,99,62,24.4,24,29.6,1936,4.5,12.933,27,8.2
1574.8,86,492,63.8,99,62,27.7,24,36.2,1975,4.1,12.96,27,6.8
1577.9,86,493.6,63.9,99,62,34.6,24,48,1920,9.1,12.96,28,11.3
1581,86,496,63.9,99,62,34.4,24,45.6,1962,1.1,12.96,28,7
1584.1,86,497.4,63.6,99,61,39.1,24,50.5,1886,8.5,12.96,28,10.4
1587.2,86,503.5,63.9,99,61,61.8,24,70,2003,14.5,12.96,28,18.8
1590.3,86,513.8,63.7,99,61,59,24,64.9,1890,12.8,12.96,27,18.5
1593.4,86,519.9,63.1,99,62,62.4,24,68,1900,13.9,13.013,28,19.4
1596.5,86,525.9,63.1,99,62,65.5,24,76.3,2001,15.8,12.96,28,19.9
1599.6,86,536.1,63.1,99,64,70.4,24,81.2,2162,22.9,12.931,28,27.2
1602.7,86,544.4,63.1,99,66,74.6,24,86.3,2522,27,12.951,27,32.2
1605.8,86,553.8,62.7,99,70,72.9,24,83,2657,27.2,12.96,27,32
1608.9,86,562.8,62.7,99,72,71.5,24,83.9,2444,22.5,12.96,27,29.5
1612,86,570.8,62.6,99,73,71.4,24,82.7,2465,21.9,12.96,27,27.7
1615.1,86,579.8,62.1,99,75,67.2,24,79.2,2333,19.3,13.016,27,25
1618.2,86,581.9,62.2,99,76,68.3,24,79.9,2323,20.7,12.96,27,26.3
1621.3,86,588,62.4,99,76,71.2,24,82.3,2497,22.4,12.996,27,27.7
1624.4,86,594.4,62.4,99,76,71.1,24,81.7,2523,22.4,12.96,27,27.5
1627.5,86,600.3,62.4,99,77,70.6,24,81.7,2528,22.2,12.916,27,27.4
1630.6,86,604,62.4,99,78,66.6,24,77.3,2402,19.4,12.96,27,25.2
1633.7,86,604.3,62.4,99,79,64.8,24,75.8,2428,17.7,12.96,27,23.1
1636.8,86,608,62.4,99,80,64.3,24,74.5,2437,17.3,12.96,27,22.5
1639.9,86,612,62,99,80,63.5,24,73.9,2427,16.5,12.96,27,21.8
1643,86,612,62,99,80,62.4,24,72.4,2429,16.3,12.818,27,21.2
1646.1,86,615.1,62.3,100,80,68.4,24,79.6,2462,21.7,13.038,27,26.1
1649.2,86,616.7,62.4,100,81,70.6,24,81.1,2490,22.6,12.96,27,27.8
1652.3,86,620,61.7,100,82,65.5,24,74.7,2496,17.7,12.96,27,22.5
1655.4,86,617.2,61.6,100,81,15.2,24,21.4,2407,5,12.859,27,6.1
1658.5,86,599.6,61.8,100,78,11,24,12.6,2312,0.4,13.038,28,5.1
1661.6,86,582.5,62.4,100,73,11,24,12.4,2188,0.4,12.96,28,4.6
1664.7,86,567.5,62.4,100,67,11.8,24,14.9,1991,0.5,13.037,28,4.3
1667.8,86,560.2,62.4,99,65,30.4,24,35.6,1944,10,12.96,28,15.8
1670.9,86,560,62.4,99,63,22.8,24,38.5,1910,8.9,12.96,28,11.8
1674,86,560.9,62.3,99,63,59.7,24,68.3,2040,13.4,13.009,28,18.5
1677.1,86,564,62,100,63,40.6,24,54,2070,14.7,12.968,28,7.7
1680.2,86,559.4,62.4,99,61,30.9,24,38.4,1931,6.5,12.992,28,9.9
1683.3,86,559,62.4,99,61,43.9,24,48.6,1907,7.6,12.972,28,11.6
1686.4,86,560,62,99,61,54.7,24,62.4,1910,11.8,12.998,28,15.7
1689.5,86,559.9,62,99,63,30.1,24,36.2,1931,7.6,12.96,28,14
1692.6,86,552.2,62.5,100,63,12,24,13.9,1887,0,13.03,28,4.7
1695.7,86,544.2,62.7,100,63,20.1,24,22.7,1894,1.8,13.009,28,6.9
1698.8,86,546.2,62.7,99,64,59.5,24,69,2201,16.5,13.037,28,19
1701.9,86,540,62.7,100,65,21.7,24,28.7,2080,1.6,12.96,28,6.1
1705,86,540,62.7,100,64,45.2,24,55.1,2149,7.6,12.96,28,9
1708.1,86,540.7,62.7,100,65,39.9,24,45.9,2036,8.8,13.002,28,12.6
1711.2,86,544,62.7,99,65,45.7,24,52.2,1978,9.2,12.96,28,14.5
1714.3,86,544.5,62.7,99,65,45.4,24,55.6,1987,10.3,12.96,28,14.5
1717.4,86,548,62.7,99,66,47.9,24,56.4,1997,4.5,13.033,28,11.3
1720.5,86,548,62.6,99,66,49.2,24,56.8,2025,11,12.96,29,14.9
1723.6,86,551.2,62.4,99,66,51.9,24,58.4,2005,10.9,12.96,29,15.7
1726.7,86,550,62.2,99,64,46.7,24,44.3,1947,1.7,12.96,29,8.7
1729.8,86,539.9,62.4,100,61,11.8,24,13.3,1838,0,12.993,29,4.8
1732.9,86,536,62.4,100,60,27.1,24,29.1,1805,6.5,12.97,29,10.7
1736,86,535.6,62.4,100,61,17.2,24,22.7,1880,3.5,12.96,29,5.7
1739.1,86,522.1,62.4,100,60,9.8,24,11.3,1837,0.4,12.96,29,3.9
1742.2,86,509.5,62.5,100,61,9.4,24,11,1848,0.4,13.013,29,3.9
1745.3,86,500.5,62.7,100,61,9.8,24,11.2,1831,0.3,12.96,29,3.9
1748.4,86,492,63.1,100,59,16.5,24,17.8,1777,2.1,12.96,29,6.4
1751.5,86,496.1,63.1,99,58,63.5,24,75.3,1996,16,13.011,29,19
1754.6,86,508.1,62.9,99,60,72.9,24,84.8,2230,22.2,12.96,29,27.5
1757.7,86,522.7,62.4,99,61,65.3,24,70.6,2137,20.1,12.924,29,22.8
1760.8,86,524,62.4,100,60,16.9,24,20.7,1795,2.6,12.937,29,7.4
1763.9,86,520,62.4,100,57,30.5,24,34.5,1729,5.2,13.002,29,8.7
1767,86,520,62.4,100,57,42.4,24,47.1,1741,7.3,12.806,29,12.3
1770.1,86,520,62.7,100,57,26.5,24,33.3,1727,4.4,13.04,29,7.4
1773.2,86,517,62.5,100,57,13.3,24,15.5,1708,0.1,12.96,29,4.5
1776.3,86,508,62.3,100,57,19.9,24,22.3,1710,2.4,12.904,29,6.7
1779.4,86,504.3,62,100,58,25.6,24,30.2,1779,4.6,12.98,29,7.9
1782.5,86,504,62,100,58,29.2,24,34.2,1836,5.1,12.98,29,9.1
1785.6,86,504,62,100,59,43.1,24,49.1,1866,8.4,13.04,29,12.4
1788.7,86,509.9,62,100,60,56.4,24,65.2,1895,11.8,12.895,29,15.2
1791.8,86,515.7,62,100,59,54.4,24,62.8,1818,11.2,13.017,29,15.8
1794.9,86,521.8,62,100,58,62.3,24,72.4,1910,17,12.96,29,21
1798,86,532.1,62,99,59,62.9,24,74.6,1961,17.2,12.96,29,20.1
1801.1,86,536,62.5,99,60,60.6,24,69.8,1886,11.7,12.96,29,16
1804.2,86,540.3,62.7,100,61,54.6,24,63.4,1845,12.3,12.917,29,15.5
1807.3,86,541.5,62.4,100,61,40.3,24,42.6,1837,4.8,13.038,29,11.4
1810.4,87,544,62.4,100,61,51.4,24,59,1852,10.3,12.929,29,15.4
1813.5,87,546.1,62.4,100,61,54.1,24,60.4,1875,11.8,12.809,29,16
1816.6,87,548,62.4,100,62,46.2,24,52.2,1894,8.9,12.96,30,12.6
1819.7,87,548,62.4,100,63,43.9,24,50.6,1912,9.1,12.821,30,13.7
1822.8,87,548,62.4,100,63,38.8,24,43.1,1901,6.6,12.96,30,10.8
1825.9,87,548,62.4,100,63,38.4,24,43.7,1894,6.7,12.99,30,11.4
1829,87,545.8,62.4,100,63,27.5,24,24,1882,0.8,12.963,30,6.4
1832.1,87,535.1,62.4,100,61,20.3,24,25,1840,3.7,13.009,30,5.3
1835.2,87,532,62.4,100,61,12,24,13.2,1812,2.2,12.892,30,5.9
1838.3,87,524.7,62.5,100,59,9.4,24,11,1812,0.4,12.96,30,3.9
1841.4,87,513,62.7,100,58,11.4,24,13.2,1764,0.4,12.849,30,4.3
1844.5,86,498.3,62.7,100,58,13.7,24,15.9,1872,0,12.96,30,5.2
1847.6,86,483.9,62.7,100,57,14.5,24,16.5,1730,0.2,12.991,30,5.3
1850.7,86,474.1,62.6,100,54,14.6,24,14.5,1725,1.5,12.837,30,5.6
1853.8,86,472,62.4,100,52,30.6,24,36.1,1616,5.1,12.96,30,7.7
1856.9,86,474.5,62.4,100,52,36.7,24,46.3,1708,10.5,12.96,30,7.3
1860,86,476,62.4,100,51,33.1,24,38.4,1555,5.2,12.96,30,8.8
1863.1,86,481,62.4,100,50,64.8,24,73.8,1690,13.9,13.039,30,17.8
1866.2,86,493.2,62.4,100,49,69.1,24,78.7,1852,18.2,12.96,30,23.1
1869.3,86,505.6,62.4,99,48,70.5,24,81.5,1972,20.1,13.034,30,23.9
1872.4,86,517.8,62.7,99,48,72.7,24,84,2065,22.6,12.96,30,26.9
1875.5,86,532.9,62.5,99,50,72.6,24,83.6,2177,23.4,12.96,30,27.9
1878.6,87,544.8,62.4,99,53,72.2,24,82.7,2187,22.7,12.96,29,27.4
1881.7,87,554.3,62,99,57,70.4,24,80.1,2089,20.5,12.887,29,25.6
1884.8,87,564,62,99,63,65.7,24,75.8,2040,17.5,12.96,29,20.2
1887.9,87,558.8,62,100,65,9.9,24,11.4,1952,0.4,12.96,29,4.6
1891,87,546.4,62.1,100,63,9.4,24,11.1,1912,0.2,12.96,29,4.1
1894.1,87,534.8,62.4,100,61,10.1,24,12.9,1828,0.6,12.96,30,3.9
1897.2,87,527.2,62.4,100,60,34.4,24,37.4,1790,3.4,12.914,30,8.4
1900.3,87,526.8,62.4,100,60,43.1,24,52.8,1840,8.7,12.96,30,13.3
1903.4,87,531.7,62.4,100,61,48.5,24,48,1872,6.9,12.96,30,12.9
1906.5,86,523.8,62.4,100,61,10.7,24,12,1825,0.5,12.96,30,4.1
1909.6,86,515.6,62.4,100,61,12.7,24,16.6,1817,1.4,12.96,30,4.7
1912.7,86,512,62.7,100,61,22.7,24,26.4,1839,3.5,12.96,30,7.4
1915.8,86,512,62.7,100,61,34.5,24,39.2,1882,6.7,12.927,30,10.5
1918.9,86,512,62.7,100,61,39.3,24,44.9,1906,7.2,12.965,30,11.8
1922,86,511.3,62.4,100,62,33.1,24,38.6,1859,4.7,12.997,30,7.9
1925.1,86,502.8,62.6,100,60,10.6,24,12.3,1832,0.4,13.04,30,4.4
1928.2,86,493.9,62.6,100,58,9.5,24,11.1,1791,0,13.04,30,3.7
1931.3,86,488,62.4,100,58,11.3,24,14.9,1727,0.1,12.944,30,3.5
1934.4,86,480,62,100,56,20.5,24,23.6,1688,4.2,12.937,31,7.2
1937.5,86,483.9,61.6,100,57,38.4,24,43.9,1762,6.3,12.941,32,10.7
1940.6,86,486.5,61.4,100,58,40.8,24,46.9,1787,7.1,12.965,32,12.2
1943.7,86,488,60.8,100,58,26.9,24,33,1787,3.7,13.002,32,7.2
1946.8,86,488,60.8,100,58,25.9,24,26.3,1869,0.8,12.96,32,5
1949.9,86,480,60.4,101,57,9.4,24,11,1744,0.6,12.96,32,3.8
1953,86,480,60.7,100,57,27.2,24,28.6,1771,4,12.96,32,8.7
1956.1,86,486.4,60.7,100,58,68.4,24,77.7,1982,16,12.96,32,20.2
